Id,CategoryName,IsActive
172,SEM/ EDX  iii) EDX micro analysis,1
173,SEM/ EDX  iv) Every additional location/magnification in EDX,1
174,Sewing Thread,1
175,Sewing Threads,1
176,Shrinkage Tray,1
177,Soxhlet apparatus,1
178,Spectro Chemical Testing of Metals,1
179,Spray Tester,1
180,Swivel Joint,1
181,Tapes,1
182,Tapes/Netting,1
183,Tearing Strength Tester,1
184,Temperature - Thermocouple,1
185,Temperature Controller with sensors,1
186,"Temperature Gauges, Indicators, Switches",1
187,"Temperature Sensors - RTD, Thermistors(NTC)",1
188,Tensile Test,1
189,"Tensile testing at room temperature (Proof/yield stress, % Elongation and Reduction in area)",1
190,Tensile Testing Balance,1
191,Tensile Testing Machine,1
192,Testing of Liquid Paint,1
193,TESTING OF METALS AND ALLOYS,1
194,Testing of Powder Coating Paint,1
195,Testing of Rubber Gasket,1
196,Textile (Woven & Non Woven),1
197,Textile Coverall,1
198,Textile Fabrics/Coated Fabrics/Laminated Fabrics/Garments,1
199,Textile Testing Lab,1
200,THERMAL CHAMBER,1
201,THERMAL SHOCK,1
202,Thermocouple Modules,1
203,"Threshold relays, Converters & Modules",1
204,Traverse Thread Counter,1
205,Twist Tester,1
206,Ultrasonic Flaw Detection,1
207,Under/Over Voltage Relays,1
208,VIBRATION TEST,1
209,Vibration test facility,1
210,VIBRATION TESTING,1
211,Vickers Hardness Tester,1
212,Voltage/Current/Power modules,1
213,Voltmeters (AC/DC),1
214,Wet Chemical Analysis of  Cast Iron,1
215,Wet Chemical Analysis of  Ferro Silicon,1
216,Wet Chemical Analysis of  Ferro Vanadium,1
217,Wet Chemical Analysis of  Iron Ores,1
218,Wet Chemical Analysis of  Lime Stone,1
219,Wet Chemical Analysis of  Low Alloy Steel,1
220,Wet Chemical Analysis of  Magnesite Bricks  or Cement,1
221,Wet Chemical Analysis of Ferro Chrome LC,1
222,Wet Chemical Analysis of Ferro Chromium HC,1
223,Wet Chemical Analysis of Ferro Manganese,1
224,Wet Chemical Analysis of Flour Spar,1
225,"Wrap Reel, Weighing balance",1
226,"Tensile testing at elevated (up to 1000 deg C) temperature (Proof/yield stress, % Elongation and Reduction in area)",1
227,Metrology Equipment,1
229,OTHERS,1
