CompanyMaster_FK_ID,ProductId,ProductName,Category,ProductType,Description,HSCode,IsConsumable,DefencePlatform,TechArea
5663,,SERVICES FOR M/C'ING OF CANISTER,,,,,,,
5663,,ANTI ROTATION KEY,,,,,,,
4602,,PUMPS,,,,,,,
1582,,Deck Covering,,,,,,,
5663,,BRACKET ASSEMBLY,,,,,,,
5663,,ELECTRO-HYDRAULIC SCISSOR STAND,,,,,,,
2472,,GASKETS,,,,,,,
5663,,CYLINDER FOR METAL CASE,,,,,,,
5663,,SHELL ASSY FOR AKASH SUSTAINER,,,,,,,
9884,,HELMET & FLOOD LIGHT,,,,,,,
10961,,PUMPS,,,,,,,
1582,,Fire detection system,,,,,,,
5663,,MATERIAL HANDLING TROLLEY,,,,,,,
5663,,SET OF COMPONENTS FOR CONTAINER,,,,,,,
6802,,SM SHEET 3.00x1250x2500MM 'D'K,,,,,,,
4118,,Fuel oil Purifiers,,,,,,,
6135,,Container Exploder,,,,,,,
6802,,HOT ROLLED LOW CARBON STEEL SHEET,,,,,,,
6802,,SM SHEET H.R. 2.5x1250x2500 MM,,,,,,,
189,,Pipes,,,,,,,
6135,,Filling PLug,,,,,,,
6935,,RUBBER GASKET 'A' OFB/SK/712,,,,,,,
6935,,STUD FOR CARRIER 13A / 16A,,,,,,,
6135,,Plug,,,,,,,
3756,,calibration services,,,,,,,
13229,,watermist systems,,,,,,,
11420,,Plug,,,,,,,
9,,Test Product,,,,,,,
9003,,FUEL OIL PURIFIER,,,,,,,
11420,,Detonator Holder,,,,,,,
11420,,Container Exploder,,,,,,,
2530,,STEEL ROUND 135.2.0MM DIA SSB 24,,,,,,,
11420,,Ring Nut,,,,,,,
11420,,Nose Plug,,,,,,,
12773,,LIFE BOAT,,,,,,,
2530,,PARTED BILLET F/498 F & SPECN.F-466,,,,,,,
6060,,CATHODIC PROTECTION SERVICES,,,,,,,
607,,"DECK MACHINERY REPAIR WORKS,  ENGINE OVERHAULING",,,,,,,
13055,,INSPECTION SERVICES,,,,,,,
13318,,PIPES AND FITTINGS,,,,,,,
12393,,Biometric Attendance,,,,,,,
13972,,HYDRAULIC POWER PACKS,,,,,,,
1672,,ANTI CORROSIVE COATING,,,,,,,
10850,,Magnesium Metal,,,,,,,
2530,,STEEL BILLET FOR 155 MM M-107,,,,,,,
6565,,VALVES,,,,,,,
13747,,FURNITURE ITEMS,,,,,,,
3313,,STEERING GEAR & ANCHOR CAPSTAN,,,,,,,
8788,,FASTENERS,,,,,,,
6022,,MACHINERY REPAIR WORKS,,,,,,,
6935,,BOTTOM CAP PROTECTOR FOR SHELL 155,,,,,,,
3262,,VACCUM TOILET SYSTEM,,,,,,,
12961,,ADVERTISING AGENCY,,,,,,,
3775,,HYDRAULIC POWER PACKS,,,,,,,
5079,,Thermocouple,,,,,,,
6935,,PROTECTIVE PLUG SK-7747/B,,,,,,,
