CompanyId,CompanyName,search_text
14,NAHAR INDUSTRIAL ENTERPRISES LIMITED,"NAHAR INDUSTRIAL ENTERPRISES LIMITED NAHAR INDUSTRIAL ENTERPRISES LIMITED NAHAR INDUSTRIAL ENTERPRISES LIMITED Textiles Textiles Punjab FOCAL POINT,LUDHIANA PUNJAB-141 010,NA,Punjab,000000-India ; ; R&D; TEST ; CLOTH PC DISP.220 GSM WITH ARMY LOGO 152 CM; Fabric Twill Weave Cotton & Polyester (80:20) Disruptive Pattern Water Repellent 250 GSM 150 cm Widt; Fabric Twill Weave Polyester & Cotton (20:80) 250 GSM Greenish Khaki 150 cm Width (Minimum)"
15,LEHAR FOOTWEARS LIMITED,"LEHAR FOOTWEARS LIMITED LEHAR FOOTWEARS LIMITED LEHAR FOOTWEARS LIMITED Rajasthan A-243 (A) ROAD NO.6 , V.K.I. AREA,JAIPUR,Rajasthan,302013-India ; nan nan ; nan nan nan ; FOOTWEARS"
16,CHATHA FOODS LIMITED,"CHATHA FOODS LIMITED CHATHA FOODS LIMITED CHATHA FOODS LIMITED Punjab 272, MOTA SINGH NAGAR,Jalandhar - I,Jalandhar,Punjab,144001-India ; nan nan ; nan nan nan nan ; nan nan"
17,TRIVENI ENGINEERING AND INDUSTRIES LIMITED,"TRIVENI ENGINEERING AND INDUSTRIES LIMITED TRIVENI ENGINEERING AND INDUSTRIES LIMITED TRIVENI ENGINEERING AND INDUSTRIES LIMITED Mechanical Engineering Mechanical Engineering Uttar Pradesh A-44, Hosiery Complex, Phase-II Extension,,Noida,Gautam Buddha Nagar,Uttar Pradesh,201305-India ; ; nan nan nan ; GEAR BOX; Gas Turbine Generators; Gear Box"
18,PRIME INDUSTRIES LIMITED,"PRIME INDUSTRIES LIMITED PRIME INDUSTRIES LIMITED PRIME INDUSTRIES LIMITED Punjab Master Chambers, 19, Feroze Gandhi Market,ludhiana,Ludhiana,Punjab,141001-India ; nan nan ; nan nan nan nan ; nan nan"
19,BALMER LAWRIE AND COMPANY LIMITED,"BALMER LAWRIE AND COMPANY LIMITED BALMER LAWRIE AND COMPANY LIMITED BALMER LAWRIE AND COMPANY LIMITED Chemical & Petroleum Products Chemical & Petroleum Products West Bengal 21, NETAJI SUBHAS ROAD,,KOLKATA,Kolkata,West Bengal,700001-India ; ; nan nan nan ; AIRLIFTING OF IMPORT STORES FROM ABROAD; Air frieght; Airfreight Charges; Antiwear Hydraulic Oil VG-32 Extra Heavy Duty Type; Antiwear Hydraulic Oil VG-46 Extra Heavy Duty Type; Antiwear Hydraulic Oil VG-68 Extra Heavy Duty Type; Box1/2-From India to Spain-Dest. Charges; Box1/2-From India to Spain-OriginCharges; Box1/2-From Spain to India-Dest. Charges; Box1/2-From Spain to India-Freight; Box1/2-From Spain to India-OriginCharges; Box2/2-From India to Spain-Dest. Charges; Box2/2-From India to Spain-Freight; Box2/2-From India to Spain-OriginCharges; Box2/2-From Spain to India-Dest. Charges; Box2/2-From Spain to India-Freight; Box2/2-From Spain to India-OriginCharges; Ceramic plate memento; Destination Charges; Freight forwarder; From France to India: Air Freight; From France to India: Origin Charges; From France to India:Destination charges; From India to France: Air Freight; From India to France: Origin charges; From India to France:Destination charges; Gear Oil SAE-140 EP Type Gl-5; Grease LG-280 Grade-2; Grease LG-320 Grade-1; Grease Molibdenu Disulphide; Grease SG-240; Grease XG-271; Grease XG-279; Grease XG-280 Grade-2; Grease XG-285; Grease XG-340; HIRING SERVICES OF CUSTOM CLEARANCE; Industrial Grease Lithium Base Regular Grade-2 (IGLBR Grade-2); Industrial Grease Lithium Base Regular Grade-3 (IGLBR Grade-3); LUBRICANT & GREASE; Lithium Base Grease For Automotve Purpose Grade-1 (LBGA Grade-1); Logistic; Origin charges; SERVO SPIN -12; TRANSPORTATION OF MATERIAL FOR BOAT 6; Trans. of GOBI to France; Trans. of GOBI to France Origin Charges; Trans. of TLT to France Origin Charges; Trans. of TOSIM to France Origin Charges; Transp. of Radar POD; Transp. of Hoisting Yoke; Transp. of Hoisting Yoke & Radar POD; Transp. of Tube assly &Cable loop assly; Transportation of Antenna"
20,OMNITEX INDUSTRIES (INDIA) LIMITED,"OMNITEX INDUSTRIES (INDIA) LIMITED OMNITEX INDUSTRIES (INDIA) LIMITED OMNITEX INDUSTRIES (INDIA) LIMITED Textiles Textiles Maharashtra 'Sabnam House' Ground Floor, Plot No. A 15 /16, Central Cross Road B, M.I.D.C. Andheri (,East),Mumbai,Mumbai City,Maharashtra,400093-India ; nan nan ; nan nan nan ; polyester, textured yarn, knitted fabrics, and garments"
21,MAFATLAL INDUSTRIES LIMITED,"MAFATLAL INDUSTRIES LIMITED MAFATLAL INDUSTRIES LIMITED MAFATLAL INDUSTRIES LIMITED Textiles Textiles Gujarat 301-302, HERITAGE HORIZON, THIRD FLOOR, OFF. C. G. ROAD, NAVRANGPURA,,AHMEDABAD,Ahmedabad,Gujarat,380009-India ; ; TEST ; All types of Dyed/Undyed Drill fabrics; CAMBRIC COTTON WHITE 91 CMS.; CANVAS COTTON 680 GM. O.G 91CM; CLOTH CANVAS COTTON 680 GR. OG WP 91CM; CLOTH COTTON 375 GRM. SCOURED W.R. FOR CAPES 91 CMS. WIDE; CLOTH COTTON CLOSELY WOVEN 170 GM WHITE WR 91 CM; CLOTH COTTON CLOSELY WOVEN 235 GRMS; CLOTH COTTON CLOSELY WOVEN 235 GRMS. DUAL SHADE (WHITE/OG) W.R. 91 CMS; CLOTH COTTON CLOSELY WOVEN 310 GM W.R. 91 CMS.; CLOTH COTTON MINERAL KHAKI WATER REPELLENT FOR CAPE WATER PROOF 90 CM; CLOTH POLYESTER AND COTTON DISRUPTIVE PATTERN 220 GSM FOR JUNGLE WITH ARMY LOGO 152 CMS MINIMUM EXCLUDING SELVEDGES; Cloth Calico Cotton White Bleached 91cm; Cloth PC 20:80 Army Logo 150cm wide; Cloth PC 20:80 Army Logo 150cm wide[; Cloth PC 67:33 blended for Parachute Type-II; Cloth PC 67:33 blended for Parachute Type-II[; Cloth PC Disruptive Pattern 250 GSM for Jungle with Army Logo 152 Cms. Wide; Cloth PC Disruptive Pattern 250 GSM for Jungle with Army Logo 152 Cms. Wide.; Cloth PW PV Dope Dyed Light Blue 148cm; Cloth Plain Weave PV DD Darker OG 150cm wide; Cloth Plain Weave PV Light Blue 148cms wide Excluding Selvedges; Cloth Plain Weave Polyester Viscose Dope Dyed Dark Blue Grey 148 Cms; Cloth Plain Weave Polyester Viscose Dope Dyed Khaki 138 Cms. Excluding Selvedge; Cloth Ripstop Polyester & Cotton (20:80) 190 GSM Digital Print 150 cm +/- 2% Width; Cloth Ripstop Polyester & Cotton (20:80) 190 GSM Digital Print 150 cm +/- 2% Width (Including Selvedge); Cloth Twill Weave Mercerised Cotton Light OG 142cm; Cloth Twill Weave Mercerised Cotton Light OG 142cm[; Cloth Twill Weave PC (20:80) 250 GSM Greenish Khaki 150 cms width (min); Cloth Twill Weave PC (20:80) 250GSM Greenish Khaki 150cm width (min); Cloth Twill Weave Polyester & Cotton (67:33) Disruptive Pattern 290 GSM WR; Clothing & General Storesvvvv; Combat T-Shirt OG; Cotton Lining Cloth; FABRIC NYLON 190 GSM UNDYED; FABRIC NYLON 230 GMS UD 92 CMS; FABRIC NYLON 32 GM UD RIP STOP; FABRIC NYLON 32GM UD 107CM MIN WIDTH EXLUDING SELVEDGE; FABRIC NYLON 35 GM U/D WIDTH 94 CM; FABRIC NYLON 35 GSM WIDTH 94 CM OG[; FABRIC NYLON 35 GSM WIDTH 94 CM ORANGE; FABRIC NYLON 35 GSM WIDTH 94 CM SAND COLOR; FABRIC NYLON 37 GM ORANGE; FABRIC NYLON 42 GM LOW POROSITY RIP STOP WEAVE SKY BLUE 120 CM[; FABRIC NYLON 42 GSM LOW POROSITY STEEL GREY WITH 120 cm; FABRIC NYLON 45 GSM ZERO POROSITY SG; FABRIC NYLON 48 + - 2 GMS SAND 92 CMS; FABRIC NYLON 48 + - 2 GMS U/D 95 CMS[; FABRIC NYLON 48 + -2 GMS OG 95 CMS[; FABRIC NYLON 48 + -2 GMS ORANGE 95 CMS; FABRIC NYLON 48 +-2 GM ORANGE TWILL WEAVE 92 CM.[; FABRIC NYLON 58 GM UD 105 CM MIN WIDTH EXCLUDING SELVEDGE; FABRIC NYLON 66 90 3 gm UD; FABRIC NYLON 66 93 GM ORANGE SHADE ISC NO 592 AS PER IS 5 2007 WIDTH 100 CM; FABRIC NYLON 66 BREATHABLE POLYURETHANE COATED DISRUPTIVE ARMY CAMOUFLAGE PATTERN 180 CMS WIDE; FABRIC NYLON 93 GM STEEL GREY WIDTH 95 CM; FABRIC NYLON LIGHT WEIGHT 37 GSM 94 CMS. WIDE; FABRIC NYLON LT WT 37 GM RIPSTOP WEAVE OLIVE DRAB SHADE NO 298 AS PER IS SPECN NO IS 5 1994 122 CM WIDTH; FABRIC NYLON LT WT 37g RIP STOP WEAVE OLIVE DRAB SHADE NO 298 AS PER SPECN NO IS 5 1994 94 CM WIDTH; FABRIC NYLON POLYURETHENE COATED 105 GM WHITE WIDTH 100 CM DS Cat No 8305 003 728; Fabric Green 205 Gm. Spun PV Blended DD 148 Cms; Fabric Green 205 Gm. Spun PV Blended DD 148 Cms.; Fabric Nylon 32gm U D 103 cm; Fabric Nylon 66 48 GSM Undyed 95 Cm plus1 minus0; Fabric Twill Weave Cotton & Polyester (80:20) Disruptive Pattern 250 GSM WR 150cms. Wide with Indian; Fabric twill weave Poly & Cotton (67:33) Dis. WR 290 GSM 150cm (Min) Width with Indian Army Logo[; LONG CLOTH COTTON WHITE BLEACHED 91 CMS; NYLON FABRICS"
22,FORBES & COMPANY LIMITED,"FORBES & COMPANY LIMITED FORBES & COMPANY LIMITED FORBES & COMPANY LIMITED Mechanical Engineering Mechanical Engineering Maharashtra FORBES BUILDING, CHARANJIT RAI MARG, FORT, MUMBAI,MUMBAI,Maharashtra,400001-India ; ; nan nan nan ; CNC machine tools"
23,RELIANCE INDUSTRIES LIMITED,"RELIANCE INDUSTRIES LIMITED RELIANCE INDUSTRIES LIMITED RELIANCE INDUSTRIES LIMITED Textiles Textiles Maharashtra 3 RD FLOORMAKER CHAMBER IV 222 NARIMAN POINT,MUMBAI,Maharashtra,400021-India ; ; nan nan nan ; Appliances; Cloth PW Poly Viscose Dope dyed OG 150cm[; Synthetic Fabric; gasoline and diesel; Petrochemicals"
